project,date,drivers,samples,boards,maintainers,loc,numberOfCommits,numberOfCommitsPastMonth,numberOfUniqueContributorsPastMonth
Ariel OS,2015-09-30,,,,,,,,
Ariel OS,2015-10-31,,,,,,,,
Ariel OS,2015-11-30,,,,,,,,
Ariel OS,2015-12-31,,,,,,,,
Ariel OS,2016-01-31,,,,,,,,
Ariel OS,2016-02-29,,,,,,,,
Ariel OS,2016-03-31,,,,,,,,
Ariel OS,2016-04-30,,,,,,,,
Ariel OS,2016-05-31,,,,,,,,
Ariel OS,2016-06-30,,,,,,,,
Ariel OS,2016-07-31,,,,,,,,
Ariel OS,2016-08-31,,,,,,,,
Ariel OS,2016-09-30,,,,,,,,
Ariel OS,2016-10-31,,,,,,,,
Ariel OS,2016-11-30,,,,,,,,
Ariel OS,2016-12-31,,,,,,,,
Ariel OS,2017-01-31,,,,,,,,
Ariel OS,2017-02-28,,,,,,,,
Ariel OS,2017-03-31,,,,,,,,
Ariel OS,2017-04-30,,,,,,,,
Ariel OS,2017-05-31,,,,,,,,
Ariel OS,2017-06-30,,,,,,,,
Ariel OS,2017-07-31,,,,,,,,
Ariel OS,2017-08-31,,,,,,,,
Ariel OS,2017-09-30,,,,,,,,
Ariel OS,2017-10-31,,,,,,,,
Ariel OS,2017-11-30,,,,,,,,
Ariel OS,2017-12-31,,,,,,,,
Ariel OS,2018-01-31,,,,,,,,
Ariel OS,2018-02-28,,,,,,,,
Ariel OS,2018-03-31,,,,,,,,
Ariel OS,2018-04-30,,,,,,,,
Ariel OS,2018-05-31,,,,,,,,
Ariel OS,2018-06-30,,,,,,,,
Ariel OS,2018-07-31,,,,,,,,
Ariel OS,2018-08-31,,,,,,,,
Ariel OS,2018-09-30,,,,,,,,
Ariel OS,2018-10-31,,,,,,,,
Ariel OS,2018-11-30,,,,,,,,
Ariel OS,2018-12-31,,,,,,,,
Ariel OS,2019-01-31,,,,,,,,
Ariel OS,2019-02-28,,,,,,,,
Ariel OS,2019-03-31,,,,,,,,
Ariel OS,2019-04-30,,,,,,,,
Ariel OS,2019-05-31,,,,,,,,
Ariel OS,2019-06-30,,,,,,,,
Ariel OS,2019-07-31,,,,,,,,
Ariel OS,2019-08-31,,,,,,,,
Ariel OS,2019-09-30,,,,,,,,
Ariel OS,2019-10-31,,,,,,,,
Ariel OS,2019-11-30,,,,,,,,
Ariel OS,2019-12-31,,,,,,,,
Ariel OS,2020-01-31,,,,,,,,
Ariel OS,2020-02-29,,,,,,,,
Ariel OS,2020-03-31,,,,,,,,
Ariel OS,2020-04-30,,,,,,,,
Ariel OS,2020-05-31,,,,,,,,
Ariel OS,2020-06-30,,,,,,,,
Ariel OS,2020-07-31,,,,,,,,
Ariel OS,2020-08-31,,0,,,648,2,2,2
Ariel OS,2020-09-30,,0,,,648,2,0,1
Ariel OS,2020-10-31,,0,,,648,2,0,1
Ariel OS,2020-11-30,,3,,,3671,87,85,2
Ariel OS,2020-12-31,,3,,,4592,116,29,2
Ariel OS,2021-01-31,,3,,,4592,116,0,1
Ariel OS,2021-02-28,,3,,,4592,116,0,1
Ariel OS,2021-03-31,,3,,,4586,119,3,2
Ariel OS,2021-04-30,,3,,,4727,123,4,2
Ariel OS,2021-05-31,,3,,,4875,128,5,2
Ariel OS,2021-06-30,,4,,,4836,145,17,2
Ariel OS,2021-07-31,,4,,,5246,194,49,3
Ariel OS,2021-08-31,,4,,,5457,208,14,2
Ariel OS,2021-09-30,,4,,,5807,243,35,2
Ariel OS,2021-10-31,,4,,,5961,254,11,2
Ariel OS,2021-11-30,,4,,,5972,257,3,2
Ariel OS,2021-12-31,,4,,,5972,257,0,1
Ariel OS,2022-01-31,,4,,,5972,257,0,1
Ariel OS,2022-02-28,,4,,,5992,263,6,2
Ariel OS,2022-03-31,,5,,,6279,281,18,2
Ariel OS,2022-04-30,,7,,,6636,302,21,2
Ariel OS,2022-05-31,,7,,,6470,313,11,2
Ariel OS,2022-06-30,,7,,,6470,313,0,1
Ariel OS,2022-07-31,,7,,,6470,313,0,1
Ariel OS,2022-08-31,,7,,,6470,313,0,1
Ariel OS,2022-09-30,,7,,,6470,313,0,1
Ariel OS,2022-10-31,,7,,,6470,313,0,1
Ariel OS,2022-11-30,,7,,,6470,313,0,1
Ariel OS,2022-12-31,,7,,,6496,323,10,2
Ariel OS,2023-01-31,,7,,,6496,326,3,2
Ariel OS,2023-02-28,,7,,,6509,331,5,2
Ariel OS,2023-03-31,,7,,,6637,354,23,2
Ariel OS,2023-04-30,,7,,,6637,354,0,1
Ariel OS,2023-05-31,,7,,,6637,354,0,1
Ariel OS,2023-06-30,,10,,,7936,419,65,2
Ariel OS,2023-07-31,,10,,,7997,443,24,2
Ariel OS,2023-08-31,,10,,,7997,443,0,1
Ariel OS,2023-09-30,,10,,,7997,443,0,1
Ariel OS,2023-10-31,,10,,,7989,449,6,2
Ariel OS,2023-11-30,,11,,,8419,480,31,2
Ariel OS,2023-12-31,,12,,,8639,495,15,4
Ariel OS,2024-01-31,,14,,,9595,544,49,3
Ariel OS,2024-02-29,,11,,,9956,622,78,5
Ariel OS,2024-03-31,,11,,,11798,714,92,7
Ariel OS,2024-04-30,,13,,,13559,766,52,5
Ariel OS,2024-05-31,,15,,,13952,785,19,6
Ariel OS,2024-06-30,,15,,,15097,801,16,7
Ariel OS,2024-07-31,,19,,,18573,821,20,5
Ariel OS,2024-08-31,,19,,,18567,834,13,5
Ariel OS,2024-09-30,,19,,,21431,880,46,7
Ariel OS,2024-10-31,,22,,,25869,924,44,6
Ariel OS,2024-11-30,,23,,,25881,991,67,7
Ariel OS,2024-12-31,,23,,,26498,1036,45,6
Ariel OS,2025-01-31,,25,,,29376,1133,97,6
Ariel OS,2025-02-28,,26,,,31003,1214,81,7
Ariel OS,2025-03-31,,27,,,40395,1271,57,8
Ariel OS,2025-04-30,,27,,,37628,1310,39,8
Ariel OS,2025-05-31,,27,,,38404,1354,44,11
Ariel OS,2025-06-30,,28,,,39830,1386,32,11
Ariel OS,2025-07-31,,30,,,42682,1434,48,9
Ariel OS,2025-08-31,,30,,,43078,1492,58,13
Ariel OS,2024-09-06,,19,,,18569,837,13,5
Ariel OS,2025-08-06,,30,,,42682,1435,38,8
Ariel OS,2025-09-06,,30,,,43151,1512,77,13
Eclipse ThreadX,2015-09-30,,,,,,,,
Eclipse ThreadX,2015-10-31,,,,,,,,
Eclipse ThreadX,2015-11-30,,,,,,,,
Eclipse ThreadX,2015-12-31,,,,,,,,
Eclipse ThreadX,2016-01-31,,,,,,,,
Eclipse ThreadX,2016-02-29,,,,,,,,
Eclipse ThreadX,2016-03-31,,,,,,,,
Eclipse ThreadX,2016-04-30,,,,,,,,
Eclipse ThreadX,2016-05-31,,,,,,,,
Eclipse ThreadX,2016-06-30,,,,,,,,
Eclipse ThreadX,2016-07-31,,,,,,,,
Eclipse ThreadX,2016-08-31,,,,,,,,
Eclipse ThreadX,2016-09-30,,,,,,,,
Eclipse ThreadX,2016-10-31,,,,,,,,
Eclipse ThreadX,2016-11-30,,,,,,,,
Eclipse ThreadX,2016-12-31,,,,,,,,
Eclipse ThreadX,2017-01-31,,,,,,,,
Eclipse ThreadX,2017-02-28,,,,,,,,
Eclipse ThreadX,2017-03-31,,,,,,,,
Eclipse ThreadX,2017-04-30,,,,,,,,
Eclipse ThreadX,2017-05-31,,,,,,,,
Eclipse ThreadX,2017-06-30,,,,,,,,
Eclipse ThreadX,2017-07-31,,,,,,,,
Eclipse ThreadX,2017-08-31,,,,,,,,
Eclipse ThreadX,2017-09-30,,,,,,,,
Eclipse ThreadX,2017-10-31,,,,,,,,
Eclipse ThreadX,2017-11-30,,,,,,,,
Eclipse ThreadX,2017-12-31,,,,,,,,
Eclipse ThreadX,2018-01-31,,,,,,,,
Eclipse ThreadX,2018-02-28,,,,,,,,
Eclipse ThreadX,2018-03-31,,,,,,,,
Eclipse ThreadX,2018-04-30,,,,,,,,
Eclipse ThreadX,2018-05-31,,,,,,,,
Eclipse ThreadX,2018-06-30,,,,,,,,
Eclipse ThreadX,2018-07-31,,,,,,,,
Eclipse ThreadX,2018-08-31,,,,,,,,
Eclipse ThreadX,2018-09-30,,,,,,,,
Eclipse ThreadX,2018-10-31,,,,,,,,
Eclipse ThreadX,2018-11-30,,,,,,,,
Eclipse ThreadX,2018-12-31,,,,,,,,
Eclipse ThreadX,2019-01-31,,,,,,,,
Eclipse ThreadX,2019-02-28,,,,,,,,
Eclipse ThreadX,2019-03-31,,,,,,,,
Eclipse ThreadX,2019-04-30,,,,,,,,
Eclipse ThreadX,2019-05-31,,,,,,,,
Eclipse ThreadX,2019-06-30,,,,,,,,
Eclipse ThreadX,2019-07-31,,,,,,,,
Eclipse ThreadX,2019-08-31,,,,,,,,
Eclipse ThreadX,2019-09-30,,,,,,,,
Eclipse ThreadX,2019-10-31,,,,,,,,
Eclipse ThreadX,2019-11-30,,,,,,,,
Eclipse ThreadX,2019-12-31,,,,,,,,
Eclipse ThreadX,2020-01-31,,,,,,,,
Eclipse ThreadX,2020-02-29,,,,,,,,
Eclipse ThreadX,2020-03-31,,,,,,,,
Eclipse ThreadX,2020-04-30,,,,,,,,
Eclipse ThreadX,2020-05-31,,,,,52660,28,28,3
Eclipse ThreadX,2020-06-30,,,,,52660,28,0,1
Eclipse ThreadX,2020-07-31,,,,,252245,34,6,3
Eclipse ThreadX,2020-08-31,,,,,544088,44,10,3
Eclipse ThreadX,2020-09-30,,,,,544100,46,2,2
Eclipse ThreadX,2020-10-31,,,,,809728,51,5,2
Eclipse ThreadX,2020-11-30,,,,,806487,53,2,2
Eclipse ThreadX,2020-12-31,,,,,806491,58,5,2
Eclipse ThreadX,2021-01-31,,,,,875369,60,2,2
Eclipse ThreadX,2021-02-28,,,,,875369,60,0,1
Eclipse ThreadX,2021-03-31,,,,,888919,62,2,3
Eclipse ThreadX,2021-04-30,,,,,910229,65,3,3
Eclipse ThreadX,2021-05-31,,,,,910229,65,0,1
Eclipse ThreadX,2021-06-30,,,,,936326,68,3,4
Eclipse ThreadX,2021-07-31,,,,,937234,69,1,2
Eclipse ThreadX,2021-08-31,,,,,937234,69,0,1
Eclipse ThreadX,2021-09-30,,,,,940856,70,1,3
Eclipse ThreadX,2021-10-31,,,,,917556,72,2,3
Eclipse ThreadX,2021-11-30,,,,,917556,72,0,1
Eclipse ThreadX,2021-12-31,,,,,917556,72,0,1
Eclipse ThreadX,2022-01-31,,,,,1306007,73,1,2
Eclipse ThreadX,2022-02-28,,,,,1306350,75,2,3
Eclipse ThreadX,2022-03-31,,,,,1306352,77,2,2
Eclipse ThreadX,2022-04-30,,,,,1260024,79,2,4
Eclipse ThreadX,2022-05-31,,,,,1260024,79,0,1
Eclipse ThreadX,2022-06-30,,,,,1260024,80,1,2
Eclipse ThreadX,2022-07-31,,,,,1291636,83,3,4
Eclipse ThreadX,2022-08-31,,,,,1291636,83,0,1
Eclipse ThreadX,2022-09-30,,,,,1291636,83,0,1
Eclipse ThreadX,2022-10-31,,,,,1304625,84,1,2
Eclipse ThreadX,2022-11-30,,,,,1304699,89,5,3
Eclipse ThreadX,2022-12-31,,,,,1319494,90,1,2
